genre_ids,id,title,original_language,overview,popularity,release_date,vote_average,vote_count
[18],389,12 Homens e uma Sentença,en,"Um jovem porto-riquenho é acusado do brutal crime de ter matado o próprio pai. Quando ele vai a julgamento, doze jurados se reúnem para decidir a sentença, levando em conta que o réu deve ser considerado inocente até que se prove o contrário. Onze dos jurados têm plena certeza de que ele é culpado, e votam pela condenação, mas um jurado acha que é melhor investigar mais para que a sentença seja correta. Para isso ele terá que enfrentar diferentes interpretações dos fatos, e a má vontade dos outros jurados, que só querem ir logo para suas casas.",29.0677,1957-04-10,8.571,10348
"[18, 36, 10752]",424,A Lista de Schindler,en,"O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência dentro do partido nazista, foi fácil conseguir as autorizações e abrir uma fábrica. O que poderia parecer uma atitude de um homem não muito bondoso, transformou-se em um dos maiores casos de amor à vida da História, pois este alemão abdicou de toda sua fortuna para salvar a vida de mais de mil judeus em plena luta contra o extermínio alemão.",36.461,1993-12-15,8.57,17888
"[18, 10749]",1232449,Corações Jovens,nl,"Elias desenvolve sentimentos por seu novo vizinho Alexander. Ele logo percebe que está se apaixonando pela primeira vez. As interações com seus amigos e familiares trazem mais perguntas do que respostas. Confuso com seus sentimentos, Elias tenta resolver seu caos interior para provar que merece o coração de Alexander.",15.8798,2024-10-26,8.566,310
"[16, 28, 10749, 14]",1218925,Chainsaw Man – O Filme: Arco da Reze,ja,"Denji trabalhava como Caçador de Demônios para a yakuza, tentando pagar a dívida que herdou de seus pais, até que um dia, ele é traído e morre. Em seus últimos momentos de consciência, ele forma um pacto com Pochita e essa fusão cria o Homem-Motosserra. Agora, em uma guerra brutal contra demônios, caçadores e inimigos secretos, uma garota misteriosa chamada Reze entrou em seu universo e Denji precisa enfrentar sua batalha mais perigosa até hoje, movido pelo amor em um mundo onde a sobrevivência não conhece regras.",28.9523,2025-09-19,8.546,1170
"[28, 53]",155,Batman: O Cavaleiro das Trevas,en,"Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam para combater o Homem-Morcego.",51.649,2008-07-16,8.535,36669
"[16, 10751, 14]",129,A Viagem de Chihiro,ja,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa repleta de comida, embora ninguém esteja por perto. Chihiro sente o perigo, mas seus pais começam a comer. Quando anoitece, eles se transformam em porcos. Agora, apenas Chihiro pode salvá-los.",35.4064,2001-07-20,8.534,18872
"[14, 18, 80]",497,À Espera de um Milagre,en,"Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.",35.9003,1999-12-10,8.506,19785
"[12, 14, 28]",122,O Senhor dos Anéis: O Retorno do Rei,en,"O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra-Média se aproxima. Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf e Pippin partam para o local na intenção de ajudar a resistência. Um exército é reunido por Théoden em Rohan, em mais uma tentativa de deter as forças de Sauron. Enquanto isso, Frodo, Sam e Gollum seguem sua viagem rumo à Montanha da Perdição para destruir o Um Anel.",41.5696,2003-12-17,8.505,27323
"[35, 18, 10749]",19404,Dilwale vai levar a noiva,hi,"Raj e Simran são dois jovens indianos vivendo em Londres que, acidentalmente, se conhecem durante uma viagem pela Europa. Eles se apaixonam, mas Simran está prometida a um indiano. Raj não desanima e segue seu amor até a Índia, onde os dois tentam convencer a todos que precisam ficar juntos.",17.0654,1995-10-20,8.5,4620
"[18, 80]",769,Os Bons Companheiros,en,"A história real de Henry Hill, um garoto meio irlandês e meio siciliano do Brooklyn que é adotado por gangsters do bairro ainda jovem e sobe na hierarquia de uma família da máfia sob a orientação de Jimmy Conway.",24.5617,1990-09-12,8.5,14735
"[28, 18, 36]",14537,Harakiri,ja,"No século 18, o Japão não está mais em guerra e o país é governado com firmeza. Hanshiro Tsugumo, um dos muitos ronin (samurais errantes) desempregados, decide bater à porta do poderoso clã Ii. Recebido por Kageyu Saito, o intendente do clã, ele pede permissão para cometer suicídio por harakiri na residência. Tentando dissuadi-lo, Saito começa a lhe contar a história de Motome Chijiwa, outro ronin que também queria realizar o mesmo ritual no local.",10.7364,1962-09-15,8.5,1274
"[28, 18]",346,Os Sete Samurais,ja,"Um bando de bandidos aterroriza os habitantes de uma pequena cidade, saqueando-os periodicamente sem piedade. Para repelir estes ataques, os aldeões decidem contratar mercenários. Por fim, obtêm os serviços de 7 guerreiros, 7 samurais dispostos a defendê-los em troca apenas de abrigo e comida.",13.5555,1954-04-26,8.5,4361
"[35, 53, 18]",496243,Parasita,ko,"Toda a família de Ki-taek está desempregada, vivendo num porão sujo e apertado. Uma obra do acaso faz com que o filho adolescente da família comece a dar aulas de inglês à garota de uma família rica. Fascinados com a vida luxuosa destas pessoas, pai, mãe, filho e filha bolam um plano para se infiltrarem também na família glamorosa, um a um. No entanto, os segredos e mentiras necessários à ascensão social custarão caro a todos.",36.3011,2019-05-30,8.49,21277
"[12, 18, 878]",157336,Interestelar,en,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.",59.086,2014-11-05,8.487,41116
"[16, 10749, 18]",372058,Your Name.,ja,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja largar o seu emprego. Os dois não se conhecem, mas estão conectados pelas imagens de seus sonhos.",24.2537,2016-07-01,8.486,12971
"[53, 80, 35]",680,Pulp Fiction: Tempo de Violência,en,"Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites. Enquanto isso, o pugilista Butch Coolidge se mete em apuros por ganhar uma luta que deveria perder.",36.9862,1994-09-10,8.48,30842
[37],429,Três Homens em Conflito,it,"Durante o auge da Guerra Civil, um misterioso pistoleiro vaga pela fronteira do oeste. Ele não possui um lar, lealdade ou companhia... Até que encontra dois estrangeiros, que são tão brutos e desapegados quanto ele. Unidos pelo destino, os três homens juntam suas forças para tentar encontrar uma fortuna em ouro roubado. Mas trabalho em equipe não é uma coisa natural para voluntariosos pistoleiros, e eles logo descobrem que seu maior desafio é concentrar-se em sua perigosa missão — e em manterem-se vivos — atravessando um país arrasado pela guerra.",24.1991,1966-12-23,8.467,9931
"[35, 18, 10749]",13,Forrest Gump: O Contador de Histórias,en,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e o Caso Watergate, mas continua pensando no seu amor de infância, Jenny Curran.",34.4583,1994-06-23,8.462,30432
"[16, 18, 10752]",12477,Túmulo dos Vagalumes,ja,"Em meio aos bombardeios que devastam o Japão nos últimos meses da Segunda Guerra Mundial, dois irmãos, Seita e Setsuko, lutam para sobreviver em uma realidade marcada pela fome, pelo abandono e pela perda.",0.0206,1988-04-16,8.449,6780
"[35, 10749]",1181678,¿Quieres ser mi hijo?,en,,6.4471,2023-09-21,8.447,370
"[12, 14, 28]",120,O Senhor dos Anéis: A Sociedade do Anel,en,"Após herdar um anel de seu tio, o hobbit Frodo participa da missão de salvar a Terra-Média do perverso Sauron. Ele precisa conduzir o Um Anel até a Montanha da Perdição e destruí-lo para sempre e, para isso, conta com a aliança de oito bravos companheiros contando com um mago, três hobbits, um elfo, um anão e dois homens.",38.287,2001-12-18,8.445,28323
"[35, 18]",637,A Vida é Bela,it,"Durante a Segunda Guerra Mundial na Itália, o judeu Guido e seu filho Giosué são levados para um campo de concentração nazista. Afastado da mulher, ele tem que usar sua imaginação para fazer o menino acreditar que estão participando de uma grande brincadeira, com o intuito de protegê-lo do terror e da violência que os cercam.",20.9971,1997-12-20,8.437,14227
"[18, 53]",550,Clube da Luta,en,Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com regras rígidas onde lutam com outros homens cansados de suas vidas mundanas. Mas sua parceria perfeita é comprometida quando Marla chama a atenção de Tyler.,37.9973,1999-10-15,8.437,32831
"[12, 14, 28]",121,O Senhor dos Anéis: As Duas Torres,en,"Após a captura de Merry e Pippin pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e serão obrigados a confiar no misterioso Gollum. Enquanto isso, Aragorn, o elfo e o arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Théoden foi vítima de uma maldição mortal de Saruman.",30.037,2002-12-18,8.428,24546
"[18, 80]",598,Cidade de Deus,pt,"Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.",20.7395,2002-08-30,8.427,8433
"[18, 9648]",1330021,Criaturas Extraordinariamente Brilhantes,en,Uma viúva que trabalha como faxineira noturna em um aquário forma uma amizade improvável com um polvo gigante que a ajuda a desvendar o mistério do desaparecimento de seu filho décadas atrás.,17.7443,2026-05-07,8.422,901
"[10751, 18]",667257,Cosas Imposibles,es,"Matilde, uma mulher na casa dos sessenta e viveu com seu marido, Porfirio, desde os 15 anos, numa relação de violência e desprezo. Miguel, seu vizinho, um jovem com tino para negócios sente pena de Matilde e pouco a pouco criarão fortes laços de amizade, o que lhes ajudará a liberar-se de de suas antigas crenças e viver a vida que sempre quiseram.",5.2862,2021-06-17,8.421,434
"[27, 53, 9648]",539,Psicose,en,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca.",19.7763,1960-06-22,8.407,11242
[18],510,Um Estranho no Ninho,en,"Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção de trabalhos forçados na prisão. Lá ele começa a influenciar os outros internos e começa a sofrer oposição da cruel e sádica enfermeira Mildred Ratched. Com forte poder persuasivo, McMurphy instaura uma reviravolta na clínica, não sabendo o que isto pode lhe custar.",22.5808,1975-11-19,8.405,11740
"[16, 14, 28]",620249,A Lenda de Hei,zh,"Depois que o avanço dos humanos destrói a floresta onde ele vive, um espírito felino chamado Hei embarca numa jornada para encontrar um novo lar.",10.2427,2019-08-27,8.402,553
"[18, 10749]",11216,Cinema Paradiso,it,"Um diretor de cinema relembra como, em sua infância, se apaixonou pelo filmes no cinema de seu vilarejo e iniciou uma profunda amizade com o projetista.",13.4575,1988-11-17,8.4,4969
"[35, 18, 14, 10749]",40096,O Auto da Compadecida,pt,"As aventuras dos nordestinos João Grilo, um sertanejo pobre e mentiroso, e Chicó, o mais covarde dos homens. Ambos lutam pelo pão de cada dia e atravessam por vários episódios enganando a todos do pequeno vilarejo de Taperoá, no sertão da Paraíba. A salvação da dupla acontece com a aparição da Nossa Senhora. Adaptação da obra de Ariano Suassuna.",6.334,2000-09-15,8.4,1243
"[80, 9648, 53]",807,Seven - Os Sete Crimes Capitais,en,"Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma série de assassinatos. Logo percebem que estão lidando com um assassino que tem como alvo pessoas que ele acredita representar os sete pecados capitais.",32.8879,1995-09-22,8.4,23743
"[18, 80, 53, 9648]",12493,Céu e Inferno,ja,"Em um momento crucial de sua vida financeira, Gondo, um executivo de uma empresa de calçados, recebe a notícia de que seu filho foi sequestrado, e o resgate exigido é uma quantia de dinheiro semelhante à que ele precisa para fechar um negócio importante. Gondo está disposto a pagar o resgate até perceber que os sequestradores cometeram um erro e levaram, na verdade, o filho do seu motorista. Agora ele precisa decidir se o dinheiro é mais importante do que a vida do garoto.",9.4348,1963-03-01,8.4,1191
"[18, 10751]",770156,Um Anjo em Nossas Vidas,en,"Quando um criminoso insensível e doente cruza o caminho de uma menina cheia de fé, uma segunda chance surge para tocar o coração durante a temporada de festas.",8.4122,2020-10-19,8.4,374
"[16, 28, 12, 878]",324857,Homem-Aranha: No Aranhaverso,en,"Miles Morales é um jovem negro do Brooklyn que se tornou o Homem-Aranha inspirado no legado de Peter Parker, já falecido. Entretanto, ao visitar o túmulo de seu ídolo em uma noite chuvosa, ele é surpreendido com a presença do próprio Peter, vestindo o traje do herói aracnídeo sob um sobretudo. A surpresa fica ainda maior quando Miles descobre que ele veio de uma dimensão paralela, assim como outras variações do Homem-Aranha.",45.6262,2018-12-06,8.399,17834
"[16, 18, 10749]",378064,A Voz do Silêncio,ja,"Nishimiya Shouko é uma estudante com deficiência auditiva. Durante o ensino fundamental, após se transferir para uma nova escola, Shouko passa a ser alvo de bullying e em pouco tempo precisa se transferir. O que ela não esperava é que alguns anos depois, Ishida Shouya, um dos valentões que tanto a fez sofrer no passado surgisse de novo em sua vida com um novo propósito.",13.9205,2016-09-17,8.396,4677
"[12, 28, 878]",1891,Guerra nas Estrelas: O Império Contra-Ataca,en,"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da ""Força"".",15.7157,1980-05-20,8.393,18829
[18],255709,Esperança,ko,"A história de uma menina de 8 anos que enfrenta um estupro horrível que a danifica internamente e a afeta emocionalmente, tentando superar todos os obstáculos após o incidente com o bom apoio dos que a rodeiam.",10.9596,2013-10-02,8.393,914
"[28, 53]",1383731,Vingadora,en,"Nikki é uma ex-militar que lutou nos piores campos de batalha da guerra, mas nada se compara à dor de ter sua filha sequestrada. Caçada por bandidos e policiais, ela usará cada habilidade mortal que aprendeu em combate para invadir o submundo do crime e resgatar a única coisa que importa para ela.",15.1253,2026-02-20,8.392,575
"[14, 16, 12]",4935,O Castelo Animado,ja,"Sophie, uma jovem chapeleira, é transformada em uma mulher idosa por uma bruxa que entra em sua loja e a amaldiçoa. Ela encontra um mago chamado Howl e se vê envolvida em sua resistência em lutar pelo rei.",30.9909,2004-09-09,8.387,11419
"[10749, 18]",696374,O Inferno de Gabriel,en,"O enigmático e atraente Professor Gabriel Emerson, renomado estudioso de Dante, é um homem atormentado por seu passado e orgulhoso do prestígio que conquistou, embora também tenha consciência de que é um ímã para o pecado e, principalmente, para a luxúria.",4.0038,2020-05-29,8.379,2480
"[18, 10402, 53]",244786,Whiplash: Em Busca da Perfeição,en,"Andrew sonha em ser o melhor baterista de sua geração. Ele chama a atenção do impiedoso mestre do jazz Terence Fletcher, que ultrapassa os limites e transforma seu sonho em uma obsessão, colocando em risco a saúde física e mental do jovem músico.",26.7202,2014-10-10,8.375,17059
"[28, 878, 12]",27205,A Origem,en,"Cobb é um ladrão habilidoso que comete espionagem corporativa infiltrando-se no subconsciente de seus alvos durante o estado de sono. Impedido de retornar para sua família, ele recebe a oportunidade de se redimir ao realizar uma tarefa aparentemente impossível: plantar uma ideia na mente do herdeiro de um império. Para realizar o crime perfeito, ele conta com a ajuda do parceiro Arthur, o discreto Eames e a arquiteta de sonhos Ariadne. Juntos, eles correm para que o inimigo não antecipe seus passos.",50.9672,2010-07-15,8.373,40156
"[18, 80]",311,Era Uma Vez na América,en,"Depois de crescer no gueto judeu de Nova Iorque e se destacar no crime organizado da Era da Proibição, um gângster de idade retorna a Brooklyn para enfrentar seu passado.",23.4224,1984-05-23,8.373,6199
"[18, 10752]",423,O Pianista,en,"Um pianista judeu polonês vê Varsóvia mudar gradualmente à medida que a Segunda Guerra Mundial começa. Szpilman é forçado a ir para o Gueto de Varsóvia, mas depois é separado de sua família durante a Operação Reinhard. A partir deste momento até que os prisioneiros dos campos de concentração sejam liberados, Szpilman se esconde em vários locais entre as ruínas de Varsóvia.",19.061,2002-09-17,8.371,10424
"[16, 28, 12, 878]",569094,Homem-Aranha: Através do Aranhaverso,en,"Miles Morales retorna para o próximo capítulo da saga do Aranhaverso, uma aventura épica que transportará o Homem-Aranha em tempo integral e amigável do bairro do Brooklyn através do Multiverso para unir forças com Gwen Stacy e uma nova equipe de Homens-Aranha para enfrentar com um vilão mais poderoso do que qualquer coisa que eles já encontraram.",47.4738,2023-05-31,8.347,9216
"[80, 53, 18]",274,O Silêncio dos Inocentes,en,"Clarice Starling é uma das melhores estudantes da academia de treinamento do FBI. Jack Crawford quer que Clarice entreviste o Dr. Hannibal Lecter, um psiquiatra brilhante e também um psicopata violento, que cumpre prisão perpétua por vários atos de assassinato e canibalismo. Crawford acredita que Lecter pode ter uma visão em um caso e que Starling, como uma mulher jovem e atraente, pode ser a isca para atraí-lo.",6.6417,1991-02-14,8.346,18477
"[10749, 18]",724089,O Inferno de Gabriel - Parte 2,en,"O professor Gabriel Emerson finalmente descobre a verdade sobre a identidade de Julia Mitchell, mas sua compreensão chega um momento tarde demais. Julia acabou de esperar que o respeitado especialista em Dante se lembrasse dela e não quer mais nada com ele. Gabriel pode reconquistar seu coração antes que ela encontre o amor nos braços de outra pessoa?",2.8346,2020-07-31,8.344,1562
"[53, 9648, 18]",567,Janela Indiscreta,en,"Em Greenwich Village, Nova York, L.B. Jeffries, um fotógrafo profissional, está de molho em seu apartamento por ter quebrado a perna enquanto trabalhava. Como não tem muito o que fazer, fica bisbilhotando a vida dos seus vizinhos com um binóculo. Porém vê algumas coisas que o fazem suspeitar que um assassinato foi cometido.",13.4527,1954-08-01,8.336,7349
[18],1058694,Radical: Ensinamentos de Um Professor,es,"Um professor numa cidade fronteiriça mexicana vítima de negligência, corrupção e violência, tenta um novo método radical para desbloquear a curiosidade, o potencial dos seus alunos - e talvez até a sua genialidade.",5.6269,2023-10-19,8.334,513
"[10749, 18]",761053,O Inferno de Gabriel - Parte 3,en,"A parte final da adaptação para o cinema do romance erótico Gabriel's Inferno, escrito por um autor canadense anônimo sob o pseudônimo de Sylvain Reynard.",5.9514,2020-11-19,8.332,1095
"[12, 35, 878]",105,De Volta para o Futuro,en,"Marty McFly, um típico adolescente americano dos anos 80, acidentalmente é enviado de volta ao ano de 1955 em um carro modificado para ser uma máquino do tempo, inventada por um cientista louco. Durante sua fantástica e maluca viagem no tempo, McFly tem que fazer com que seus futuros pais se encontrem e se apaixonem, para que assim ele possa ir de volta para o futuro.",30.2819,1985-07-03,8.329,22363
[18],73,A Outra História Americana,en,"Derek busca vazão para suas agruras tornando-se líder de uma gangue de racistas. A violência o leva a um assassinato, e ele é condenado pelo crime. Três anos mais tarde, ele sai da prisão e tem que convencer seu irmão, que está prestes a assumir a liderança do grupo, a não trilhar o mesmo caminho.",16.3696,1998-07-01,8.324,12890
"[12, 14, 16]",128,Princesa Mononoke,ja,"Um príncipe infectado por uma doença sabe que irá morrer, a menos que encontre a cura. Sendo a sua última esperança, segue para o leste e, durante o caminho, encontra animais da floresta lutando contra a sua exploração, liderados pela princesa Mononoke.",21.1609,1997-07-12,8.319,9269
[18],3782,Viver,ja,"Kanji Watanabe é um homem de meia-idade que trabalha no mesmo cargo burocrático e monótono há décadas. Ao descobrir que tem câncer, ele começa a procurar o sentido de sua vida.",8.5929,1952-10-09,8.312,1385
"[10751, 16, 878, 12]",1184918,Robô Selvagem,en,"Um robô – unidade ROZZUM 7134, abreviadamente “Roz” – naufraga em uma ilha desabitada e deve aprender a se adaptar ao ambiente hostil, gradualmente construindo relacionamentos com os animais da ilha e se tornando o pai adotivo de um filhote de ganso órfão.",46.6479,2024-09-12,8.306,6570
"[10749, 35, 18]",614945,Mensagens para Isabelle,en,"As mensagens de voz sinceronas de uma jovem para a irmã falecida acabam sendo enviadas para um estranho, que começa a se apaixonar por ela mesmo de longe.",19.4668,2026-06-20,8.305,881
"[10749, 16]",372754,Colegas de Classe,ja,"A história começa numa aula de música quando, durante o ensaio do coral para o festival escolar, Hikaru Kusakabe percebe que o estudante de honra da escola, Rihito Sajō, não está cantando. De início, ele pensa que o estudante simplesmente não gosta de cantar, até encontrar Rihito ensaiando numa sala vazia na escola. Sem pensar duas vezes, Kusakabe decide ajudar o colega a ensaiar o canto.",6.0349,2016-02-20,8.3,463
"[16, 10751, 35, 12]",1084244,Toy Story 5,en,"O trabalho de Buzz, Woody, Jessie e do resto da gangue fica exponencialmente mais difícil quando eles enfrentam uma nova ameaça à diversão: a tecnologia.",149.0524,2026-06-17,8.3,2085
"[16, 53]",10494,Perfect Blue,ja,"Mima Kirigoe é membro de uma banda de música pop japonesa (J-Pop), chamada ""CHAM!"", que decide deixar a banda para se dedicar à carreira de atriz. Alguns fãs ficam descontentes com a repentina mudança de carreira, pois Mima, sendo um ídolo pop, é vista como uma menina inocente e angelical. Conforme avança em sua nova carreira, Mima mergulha em um intenso drama psicológico no qual fantasia e realidade se confundem colocando em dúvida sua ética moral.",18.6718,1998-02-28,8.3,3342
"[16, 18, 14, 10749]",533514,Violet Evergarden: O Filme,ja,"Com o fim da guerra, o avanço tecnológico traz mudanças à vida de Violet, que espera rever o major que a ajudou.",8.5247,2020-09-18,8.297,542
[18],207,Sociedade dos Poetas Mortos,en,"Em 1959 na Welton Academy, uma tradicional escola preparatória, um ex-aluno se torna o novo professor de literatura, mas logo seus métodos de incentivar os alunos a pensarem por si mesmos cria um choque com a ortodoxa direção do colégio, principalmente quando ele fala aos seus alunos sobre a ""Sociedade dos Poetas Mortos"".",22.3126,1989-06-02,8.296,12945
"[80, 18, 28]",101,O Profissional,fr,"Mathilda tem apenas 12 anos de idade mas já conhece o lado obscuro da vida: seu pai abusivo guarda drogas para policiais corruptos e a mãe a negligencia. O vizinho Léon gosta de cuidar de plantas, mas é um assassino de aluguel para o gângster Tony. Quando sua família é assassinada por um agente antidrogas desonesto, Mathilda se une a um relutante Léon para aprender o negócio mortal e vingar a morte da família.",27.2791,1994-09-14,8.292,16493
"[16, 35, 10749]",820067,The Quintessential Quintuplets: O Filme,ja,Chega a época do festival escolar que marca também um dos últimos eventos do 3º ano do ensino médio. Fuutarou usa este evento para entregar uma resposta que as quíntuplas aguardam há muito tempo: quem é a escolhida dele.,9.3985,2022-05-20,8.286,456
"[18, 35]",644479,Dedicada a Minha Ex,es,"Ariel, um jovem de 21 anos, decide formar uma banda de rock para concorrer a um prêmio de dez mil dólares em um concurso de bandas musicais. Essa é a última opção para tentar conseguir dinheiro para salvar o relacionamento e reencontrar a ex-namorada, que termina devido à viagem que ela precisa fazer à Finlândia para um estágio. Ariel e seu amigo Ortega decidem fazer um teste para encontrar os outros membros da banda, embora eles não entendam nada de música, formando assim uma banda com membros de personalidades diversas e opostas.",4.6841,2019-11-01,8.285,514
"[35, 10752]",914,O Grande Ditador,en,"Depois de servir com dedicação na 1ª Guerra, um barbeiro judeu passa anos em um hospital do exército, sem saber da ascensão de um ditador fascista antissemita, que se parece muito com ele. Ao voltar para o seu bairro, ele fica atordoado com as mudanças brutais e se une a uma menina para se rebelar.",11.6602,1940-10-15,8.284,3800
